Tahun	Minggu	Negeri	Daerah/Zon/PBT	Lokaliti	Jumlah Kes Terkumpul	Tempoh Wabak Berlaku (Hari)
2011	45	WPKL	Klang Lama	Kolej Ke 12 Universiti Malaya	22	55
2011	45	WPKL	Cheras	Ppr Desa Tun Razak	20	49
2011	45	WPKL	Klang Lama	Flat Taman Gembira	18	38
2011	45	WPKL	Pusat Bandar	Kg Baru C (Rj Abdullah/Rj Alang/Rj Uda/Rj Musa Abd Aziz/J.Hamzah/J.Daud/Rj Mahmud)	5	32
2011	45	Selangor	Hulu Langat	Jalan Bunga Melur Taman Suria Jaya.	4	32
2011	45	Selangor	Klang (MBSA)	Seksyen 35 (Teres B Alam Impian)	8	33
2011	46	WPKL	Cheras	Ppr Desa Tun Razak	21	56
2011	46	WPKL	Klang Lama	Flat Taman Gembira	20	45
2011	46	WPKL	Setapak	Seksyen 2 Wangsa Maju (Menara Alpha Kondo)	4	37
2011	46	WPKL	Klang Lama	Taman Sri Petaling	8	31
2011	46	Selangor	Klang (MBSA)	Seksyen 35 (Teres B Alam Impian)	9	40
2011	47	WPKL	Cheras	Ppr Desa Tun Razak	23	63
2011	47	WPKL	Klang Lama	Flat Taman Gembira	22	52
2011	47	WPKL	Cheras	Ppr Taman Mulia	10	36
2011	47	WPKL	Klang Lama	Taman Sri Petaling	8	38
2011	47	Selangor	Klang (MBSA)	Seksyen 35 (Teres B Alam Impian)	9	47
2011	48	WPKL	Cheras	Ppr Desa Tun Razak	22	70
2011	48	WPKL	Klang Lama	Flat Taman Gembira	22	59
2011	48	WPKL	Cheras	Ppr Taman Mulia	12	43
2011	49	WPKL	Klang Lama	Flat Taman Gembira	23	66
2011	49	WPKL	Cheras	Ppr Taman Mulia	12	50
2011	49	WPKL	Klang Lama	Vista Angkasa	9	32
2011	50	WPKL	Klang Lama	Flat Taman Gembira	23	73
2011	50	WPKL	Klang Lama	Vista Angkasa	9	39
2011	50	Selangor	Hulu Langat	Apartment Taman Bukit Kenangan	16	32
2011	51	WPKL	Klang Lama	Vista Angkasa	11	46
2011	51	Selangor	Hulu Langat	Apartment Taman Bukit Kenangan	16	39
2011	51	Selangor	Hulu Langat	Pangsapuri Baiduri Bandar Tasik Kesuma	5	31
2011	52	WPKL	Klang Lama	Vista Angkasa	11	53
2011	52	Selangor	Hulu Langat	Kem Pga Batu 7 Cheras	9	31
